sheet,row,row_label,range,cells,sample_formula,r1c1_pattern,target_id,verdict
ТЭПы,20,Площадь жилой застройки,C20:C20,1,=210038+420,=210038+420,TEP.RES_GFA,keep
ТЭПы,20,Площадь жилой застройки,D20:D20,1,=C20/C19,=R[0]C[-1]/R[-1]C[-1],TEP.RES_GFA,keep
ТЭПы,21,Площадь нежилой застройки,D21:D21,1,=C21/C19,=R[0]C[-1]/R[-2]C[-1],TEP.NONRES_GFA,keep
ТЭПы,22,Площадь Квартир (продаваемая?),D22:D22,1,=C22/C20,=R[0]C[-1]/R[-2]C[-1],TEP.APT_EFFICIENCY,keep
ТЭПы,23,Площадь коммерции продаваемая,C23:C23,1,=10322,=10322,TEP.COMM_AREA,keep
ТЭПы,26,МОП под отделку+ ресепшн,C26:C26,1,=51775+7719,=51775+7719,TEP.MOP_AREA,keep
ТЭПы,26,МОП под отделку+ ресепшн,D26:D26,1,=C26/C19,=R[0]C[-1]/R[-7]C[-1],TEP.MOP_AREA,keep
ТЭПы,27,Количество парковочных мест ЖК,D27:D27,1,=I44,=R[17]C[5],F.TEP.PARKING_COUNT,keep
ТЭПы,28,Кол-во квартир,D28:D28,1,=C28/C27,=R[0]C[-1]/R[-1]C[-1],F.TEP.PARKING_COUNT,keep
ТЭПы,29,Площадь благоустройства,C29:C29,1,=C15*D29,=R[-14]C[0]*R[0]C[1],F.TEP.LANDSCAPE_AREA,keep
ТЭПы,30,Внутриквартальный проезд,C30:C30,1,=$C$29*D30,=R29C3*R[0]C[1],F.TEP.LANDSCAPE_AREA,keep
ТЭПы,31,Озеленение,C31:C31,1,=$C$29*D31,=R29C3*R[0]C[1],F.TEP.LANDSCAPE_AREA,keep
ТЭПы,32,Зона наземной парковки,C32:C32,1,=$C$29*D32,=R29C3*R[0]C[1],F.TEP.LANDSCAPE_AREA,keep
ТЭПы,32,Зона наземной парковки,D32:D32,1,=D29-D30-D31,=R[-3]C[0]-R[-2]C[0]-R[-1]C[0],F.TEP.LANDSCAPE_AREA,keep
ТЭПы,33,Площадь застройки,C33:C33,1,=C15-C29,=R[-18]C[0]-R[-4]C[0],F.TEP.LANDSCAPE_AREA,keep
ТЭПы,33,Площадь застройки,D33:D33,1,=C33/C15,=R[0]C[-1]/R[-18]C[-1],F.TEP.LANDSCAPE_AREA,keep
ТЭПы,34,Площадь подземной парковки,C34:C34,1,=E49,=R[15]C[2],F.TEP.GFA_BELOW_EST,keep
ТЭПы,38,Квартирография - цены старта продаж,E38:F38,2,=E44+E51,=R[6]C[0]+R[13]C[0],F.TEP.SALEABLE_AREA,keep
ТЭПы,41,Квартиры Тип 1,E41:E41,1,=D41*F41,=R[0]C[-1]*R[0]C[1],F.TEP.APT_TYPE_AREA,keep
ТЭПы,41,Квартиры Тип 1,H41:J41,2,=G41*D41,=R[0]C[-1]*R[0]C[-4],F.SALES.WAVG_PRICE,keep
ТЭПы,42,Квартиры Тип 2,E42:E42,1,=F42*D42,=R[0]C[1]*R[0]C[-1],F.TEP.APT_TYPE_AREA,keep
ТЭПы,42,Квартиры Тип 2,H42:J42,2,=G42*D42,=R[0]C[-1]*R[0]C[-4],F.SALES.WAVG_PRICE,keep
ТЭПы,43,Квартиры Тип 3,E43:E43,1,=F43*D43,=R[0]C[1]*R[0]C[-1],F.TEP.APT_TYPE_AREA,keep
ТЭПы,43,Квартиры Тип 3,H43:J43,2,=G43*D43,=R[0]C[-1]*R[0]C[-4],F.SALES.WAVG_PRICE,keep
ТЭПы,44,,D44:D44,1,=E44/F44,=R[0]C[1]/R[0]C[2],F.TEP.APT_TYPE_AREA,keep
ТЭПы,44,,E44:E44,1,=SUM(E41:E43),=SUM(R[-3]C[0]:R[-1]C[0]),F.TEP.APT_TYPE_AREA,keep
ТЭПы,44,,G44:I44,3,=AVERAGE(G41:G43),=AVERAGE(R[-3]C[0]:R[-1]C[0]),F.TEP.APT_TYPE_AREA,keep
ТЭПы,48,ПСН,E48:E48,1,=C23,=R[-25]C[-2],F.TEP.SALEABLE_AREA,keep
ТЭПы,48,ПСН,F48:F48,1,=E48/D48,=R[0]C[-1]/R[0]C[-2],F.TEP.SALEABLE_AREA,keep
ТЭПы,48,ПСН,H48:H48,1,=G48*D48,=R[0]C[-1]*R[0]C[-4],F.TEP.SALEABLE_AREA,keep
ТЭПы,49,Машиноместа,E49:E49,1,=D49*F49,=R[0]C[-1]*R[0]C[1],F.TEP.GFA_BELOW_EST,keep
ТЭПы,49,Машиноместа,F49:F49,1,=J44,=R[-5]C[4],F.TEP.PARKING_COUNT,fix
ТЭПы,49,Машиноместа,H49:H49,1,=G49*D49,=R[0]C[-1]*R[0]C[-4],SALES.PRODUCTS,fix
ТЭПы,50,Прочие помещения,H50:H50,1,=G50*D50,=R[0]C[-1]*R[0]C[-4],F.TEP.SALEABLE_AREA,keep
ТЭПы,51,,E51:F51,2,=SUM(E48:E50),=SUM(R[-3]C[0]:R[-1]C[0]),F.TEP.SALEABLE_AREA,keep
ТЭПы,51,,G51:G51,1,=AVERAGE(G48:G50),=AVERAGE(R[-3]C[0]:R[-1]C[0]),F.TEP.SALEABLE_AREA,keep
Бюджет,5,,C5:C5,1,='План продаж'!C27,='План продаж'!R[22]C[0],F.SALES.REVENUE_TOTAL,fix
Бюджет,5,,D5:D5,1,='План продаж'!D31,='План продаж'!R[26]C[0],F.SALES.REVENUE_TOTAL,fix
Бюджет,5,,E5:E5,1,='План продаж'!D29,='План продаж'!R[24]C[-1],F.SALES.REVENUE_TOTAL,fix
Бюджет,5,,F5:F5,1,='План продаж'!D27,='План продаж'!R[22]C[-2],F.SALES.REVENUE_TOTAL,fix
Бюджет,5,,G5:G5,1,='План продаж'!I8,='План продаж'!R[3]C[2],F.SALES.REVENUE_TOTAL,fix
