sheet,cell,row_label,value,target_id,verdict,note
ТЭПы,C5,Срок реализации проекта / мес,7.25,TIME.MILESTONES,remove,срок проекта вычисляется из вех
ТЭПы,C13,Кадастровая стоимость ЗУ,5834907660,LAND.CADASTRAL_VALUE,keep,
ТЭПы,I13,Кадастровая стоимость ЗУ,5834907660,LAND.CADASTRAL_VALUE,remove,дубль
ТЭПы,C15,Площадь ЗУ / м2,96572,LAND.AREA,keep,
ТЭПы,I15,Площадь ЗУ / м2,96572,LAND.AREA,remove,дубль
ТЭПы,C17,Количество очередей,3,GEN.PHASES_COUNT,fix,очереди должны считаться раздельно
ТЭПы,C19,Площадь проекта -  СПП (ГНС),221967,TEP.GFA_ABOVE,keep,
ТЭПы,C21,Площадь нежилой застройки,19009,TEP.NONRES_GFA,keep,
ТЭПы,C22,Площадь Квартир (продаваемая?),143560,TEP.APT_AREA,keep,
ТЭПы,D23,Площадь коммерции продаваемая,0.8,TEP.COMM_AREA,remove,"коэффициент 0,8 без назначения"
ТЭПы,C27,Количество парковочных мест ЖК,862,TEP.PARKING_COUNT_OVERRIDE,fix,ниже норматива 2118-ПП
ТЭПы,C28,Кол-во квартир,2401,TEP.APT_MIX,remove,дубль количества квартир
ТЭПы,D29,Площадь благоустройства,0.3,TEP.LANDSCAPE_SHARE,keep,нужна ссылка на ППТ/НГП
ТЭПы,D30,Внутриквартальный проезд,0.1,TEP.ROAD_SHARE,keep,нужна ссылка на ППТ
ТЭПы,D31,Озеленение,0.1,TEP.GREEN_SHARE,keep,нужна ссылка на ППТ/НГП
ТЭПы,C35,Продаваемая площадь,149281,CAPEX.ITEMS,replace,база только для режима совместимости: перевод вбитых сумм бюджета в ставки на м²; продаваемая площадь — F.TEP.SALEABLE_AREA
ТЭПы,C41,Квартиры Тип 1,0.4,TEP.APT_MIX,remove,доля вводилась вручную — теперь F.TEP.APT_SHARE
ТЭПы,D41,Квартиры Тип 1,35.108,TEP.APT_MIX,keep,avg_area
ТЭПы,F41,Квартиры Тип 1,961,TEP.APT_MIX,keep,count
ТЭПы,G41,Квартиры Тип 1,497703,SALES.PRODUCTS,keep,"start_price, источник не указан"
ТЭПы,I41,Квартиры Тип 1,0.8,TEP.PARKING_NORM,keep,совпадает с ПП Москвы 2118-ПП
ТЭПы,C42,Квартиры Тип 2,0.3,TEP.APT_MIX,remove,доля вводилась вручную — теперь F.TEP.APT_SHARE
ТЭПы,D42,Квартиры Тип 2,60.53,TEP.APT_MIX,keep,avg_area
ТЭПы,F42,Квартиры Тип 2,720,TEP.APT_MIX,keep,count
ТЭПы,G42,Квартиры Тип 2,497703,SALES.PRODUCTS,keep,"start_price, источник не указан"
ТЭПы,I42,Квартиры Тип 2,1.2,TEP.PARKING_NORM,keep,совпадает с ПП Москвы 2118-ПП
ТЭПы,C43,Квартиры Тип 3,0.3,TEP.APT_MIX,remove,доля вводилась вручную — теперь F.TEP.APT_SHARE
ТЭПы,D43,Квартиры Тип 3,92,TEP.APT_MIX,keep,avg_area
ТЭПы,F43,Квартиры Тип 3,720,TEP.APT_MIX,keep,count
ТЭПы,G43,Квартиры Тип 3,497703,SALES.PRODUCTS,keep,"start_price, источник не указан"
